교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
제주특별자치도교육청,서귀포시교육지원청,가파초등학교병설유치원,공립(병설),김형철,김형철,19950301,19950316,제주특별자치도 서귀포시 가파로67번길 45,794-6711,064-794-5764, ,0,0,0,1,0,15,0,0,0,15,0,0,0,0,0,0,33.1693215319979,126.270222588169
제주특별자치도교육청,서귀포시교육지원청,강정초등학교병설유치원,공립(병설),박문열,박문열,19820305,19820305,제주특별자치도 서귀포시 말질로 188,064-735-8717,064-735-8777,http://www.gangjong.es.kr,0,0,0,1,0,19,0,0,0,19,0,0,0,0,6,0,33.2350090236069,126.478665941631
제주특별자치도교육청,서귀포시교육지원청,남원유치원,사립(법인),강영선,강영선,19800328,19800328,제주특별자치도 서귀포시 남한로 27,064-764-0040,064-764-9940, ,1,1,1,0,0,78,26,26,26,0,0,7,11,22,0,0,33.2814720450873,126.716928839897
제주특별자치도교육청,서귀포시교육지원청,대정서초등학교병설유치원,공립(병설),이은숙,이은숙,19810204,19810204,제주특별자치도 서귀포시 동일하모로 43,064-794-0850,064-794-0780,http://djseo.jje.es.kr/,0,0,0,1,0,19,0,0,0,19,0,0,0,0,5,0,33.2321935871987,126.239121228069
제주특별자치도교육청,서귀포시교육지원청,대정초등학교병설유치원,공립(병설),고경희,고경희,19840310,19840310,제주특별자치도 서귀포시 상모대서로 15,064-786-0728,064-794-2202,http://daejung.jje.es.kr/daejung-e/0701/sub,0,0,2,0,0,48,0,0,48,0,0,0,0,31,0,0,33.2253992233376,126.255398640553
제주특별자치도교육청,서귀포시교육지원청,도순초등학교병설유치원,공립(병설),김이,김이,20200301,20200301,제주특별자치도 서귀포시 도순남로 83,064-730-0353,064-739-4261,https://dosun.jje.es.kr,0,1,1,0,0,43,0,19,24,0,0,0,19,21,0,0,33.2475799038794,126.477226958113
제주특별자치도교육청,서귀포시교육지원청,동남초등학교병설유치원,공립(병설),오정석,오정석,19810305,19810305,제주특별자치도 서귀포시 고성오조로 55,064-786-5870,064-786-5899,http://dongnam.jje.es.kr,0,0,0,1,0,19,0,0,0,19,0,0,0,0,8,0,33.4491932812354,126.913907699976
제주특별자치도교육청,서귀포시교육지원청,무릉초등학교병설유치원,공립(병설),양순택,양순택,19810312,19810312,제주특별자치도 서귀포시 서삼중로 106,064-793-5360,064-792-5303,http://www.murung.es.kr,0,0,0,1,0,19,0,0,0,19,0,0,0,0,12,0,33.2728166009781,126.201443463205
제주특별자치도교육청,서귀포시교육지원청,법환초등학교병설유치원,공립(병설),김진애,김진애,19850202,19850202,제주특별자치도 서귀포시 이어도로 879,064-739-2798,064-739-2798, ,0,0,0,1,0,19,0,0,0,19,0,0,0,0,19,0,33.23749053894,126.508686177018
제주특별자치도교육청,서귀포시교육지원청,보목초등학교병설유치원,공립(병설),김용민,김용민,19950309,19950309,제주특별자치도 서귀포시 마소물로8번길 9,064-735-3590,064-735-3501,http://www.bomok.es.kr,0,0,0,1,0,15,0,0,0,15,0,0,0,0,5,0,33.2449493554533,126.599983165356
