구분,경기장,종목,위치,위도,경도,전화번호,상세정보,데이터기준일자
게이트볼장,보성리전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 대정읍 추사로 93-11,33.25104042,126.2726369,064-760-4315,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,태흥리농어촌복합체육시설,게이트볼,제주특별자치도 서귀포시 남원읍 태위로 988-5,33.28836924,126.7503718,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,성산읍전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 서성일로 1222번길 36,33.4447515,126.9096023,064-760-4218,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,성산서부전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 신난로 16,33.3869011,126.8794453,064-760-4218,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,표선전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 표선면 한마음초등로 396,33.3531879,126.813389,064-760-3657,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,대정전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 최남단해안로 109번길 67,33.2175717,126.2542892,064-760-4018,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,남원위미전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 위미중앙로 196번길 22-24,33.2706916,126.662023,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,남원전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 남원읍 태위로 551-27,33.27788286,126.7034071,064-760-4117,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,중문동전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 색달로 199-22,33.26436622,126.4247975,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,강정동전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 강정통물로 55,33.23284637,126.4747332,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,예래전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 하예로 19번길 67,33.24509351,126.3805657,064-760-3632,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,제주전지훈련센터 전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 남원읍 신례로 96,33.27680559,126.6409081,064-760-3665,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
게이트볼장,서귀포시전천후게이트볼장,게이트볼,제주특별자치도 서귀포시 서홍로 40,33.25097102,126.5537156,064-763-0700,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,서귀포혁신도시 국민체육센터,체력단련,제주특별자치도 서귀포시 서호남로 19-30,33.2525461,126.5161895,064-760-3640,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,서귀포국민체육센터,수영·헬스,제주특별자치도 서귀포시 중문관광로 346,33.25090559,126.4323801,064-739-0363,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,제주공천포전지훈련 센터다목적 체육관,핸드볼+농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 남원읍 신례로 96,33.27680559,126.6409081,064-760-3626,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,서귀포생활 체육문화체육센터,체력단련,제주특별자치도 서귀포시 월드컵로 33,33.24621974,126.5092777,064-760-3633,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,대정문화체육센터,특이사항없음,제주특별자치도 서귀포시 대정읍 암반수마농로 419,33.2633581,126.2329451,064-760-3651,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,성산국민체육센터,농구+배구+배드민턴경기장+문화및집회시설,제주특별자치도 서귀포시 성산읍 일주동로 4024,33.4667584,126.904899,064-784-2274,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
체육관,효돈생활체육관,농구+배구+배드민턴+핸드볼경기장+문화및집회시설,제주특별자치도 서귀포시 하신상로 25,33.26302966,126.6170655,064-760-3638,https://www.seogwipo.go.kr/field/living.htm,2024-10-25
