구분,시설명,부지면적(제곱미터),연면적(제곱미터),경기장면적(제곱미터),경기장(체육관)규격,관람석 좌석수,관람석 수용인원,준공연도,관리주체,데이터기준일자
육상경기장,제주종합경기장 주경기장,30327,38299,19000,우레탄 400m * 8주로+천연잔디 109m * 75m,20053,25000,1984,제주시 체육진흥과,2024-12-31
육상경기장,애향운동장,21662,1250,18718,우레탄 400m * 6주로+천연잔디 111m * 75m,1000,5000,1984,제주시 체육진흥과,2024-12-31
육상경기장,구좌하도운동장,18202,1250,10905,우레탄 400m * 4주로+인조잔디105m * 68m,0,500,2016,제주시 구좌읍,2024-12-31
육상경기장,구좌체육공원 운동장,60132,271,14000,우레탄 400m * 8주로+천연잔디 110m * 75m,800,3000,2006,제주시 구좌읍,2024-12-31
육상경기장,한림종합운동장,42328,1806,17414,우레탄 400m * 8주로+천연잔디 110m * 75m,6620,10000,2002,제주시 한림읍,2024-12-31
육상경기장,월림운동장,7230,,,천연잔디,0,0,2001,제주시 한림읍,2024-12-31
육상경기장,조천운동장,55853,316,14000,우레탄 400m * 8주로+인조잔디105m * 68m,1000,5000,2017,제주시 조천읍,2024-12-31
육상경기장,강창학종합경기장A구장,53548,4113,16439,우레탄 400m * 8주로+천연잔디 117m * 78m,6120,6120,2001,서귀포시 체육진흥과,2024-12-31
육상경기장,강창학종합경기장B구장,53548,203,11729,우레탄 400m * 6주로+천연잔디 117m * 78m,0,0,,서귀포시 체육진흥과,2024-12-31
육상경기장,공천포전지훈련센터 주경기장,148642,1699,13299,우레탄 400m * 8주로+천연잔디 112m * 75m,3886,500,2010,서귀포시 체육진흥과,2024-12-31
육상경기장,남원생활체육관 주경기장,37590,161,10436,우레탄 400m * 6주로+천연잔디 105m * 75m,750,750,1993,서귀포시 남원읍,2024-12-31
육상경기장,대정문화체육센터 주경기장,66115,133,12533,우레탄 400m * 4주로+인조잔디105m * 70m,500,500,2002,서귀포시 대정읍,2024-12-31
육상경기장,안덕생활체육관 주경기장,49586,128,10678,우레탄 400m * 8주로+천연잔디 100m * 68m,2000,2000,2002,서귀포시 안덕면,2024-12-31
육상경기장,표선생활체육관 주경기장,66751,117,11017,우레탄 400m * 8주로+천연잔디 100m * 68m,3000,3000,1998,서귀포시 표선면,2024-12-31
육상경기장,성산국민체육센터 주경기장,44588,165,19260,우레탄 400m * 5주로+천연잔디 105m * 70m,488,488,2004,서귀포시 성산읍,2024-12-31
축구장,노형미리내공원 축구장,11410,,7140,인조잔디105m * 65m,1000,1000,2003,제주시체육진흥과(제주시체육회),2024-12-31
축구장,제주시생활체육공원 축구장,38777,,9025,인조잔디105m * 70m,930,1000,2006,제주시체육진흥과(제주시체육회),2024-12-31
축구장,이호축구장,13528,,7280,인조잔디104m * 70m,550,1000,2006,제주시체육진흥과(제주시체육회),2024-12-31
축구장,외도축구장,14545,,7848,인조잔디109m * 72m,474,1000,2006,제주시체육진흥과(제주시체육회),2024-12-31
축구장,외도제2축구장,17328,,7140,인조잔디105m * 68m,　,1000,2017,제주시체육진흥과(제주시체육회),2024-12-31
축구장,사라봉축구장,9322,,7140,인조잔디105m * 68m,1000,1000,2008,제주시체육진흥과(제주시체육회),2024-12-31
축구장,삼양축구장,18025,,6400,인조잔디100m * 64m,408,1000,2011,제주시체육진흥과(제주시체육회),2024-12-31
축구장,동복리체육센터 축구장,52938,,,인조잔디96m * 62m,,,2020,제주시체육진흥과(제주시체육회),2024-12-31
축구장,한경축구장,13528,,7072,인조잔디104m * 68m,214,500,2006,제주시 한경면,2024-12-31
축구장,우도축구장,9955,,6400,인조잔디100m * 64m,200,800,2008,제주시 우도면,2024-12-31
축구장,애월체육공원 축구장,60910,,6400,인조잔디100m * 64m,781,1000,2009,제주시 애월읍,2024-12-31
축구장,제주월드컵경기장 주경기장,134122,,85429,천연잔디117m * 78m,29791,29791,2002,서귀포시 체육진흥과,2024-12-31
축구장,시민축구장,16227,,9506,천연잔디117m * 78m,600,600,2002,서귀포시 체육진흥과,2024-12-31
축구장,중문단지축구장,16669,,9463,천연잔디117m * 78m,708,708,2001,서귀포시 체육진흥과,2024-12-31
축구장,공천포전지훈련센터 축구장,148462,,14390,인조잔디(2면)105m * 68m,,500,2010,서귀포시 체육진흥과,2024-12-31
축구장,예래동체육공원 축구장,26116,,9506,천연잔디100m * 64m,150,150,2018,서귀포시 체육진흥과,2024-12-31
축구장,걸매축구장,24000,,14903,인조잔디(2면)105m * 68m,500,500,2005,서귀포시 체육진흥과(서귀포시체육회),2024-12-31
축구장,효돈축구공원,44640,,25204,인조잔디(2면)천연잔디(1면)109m * 76m,540,540,2008,서귀포시 체육진흥과(서귀포시체육회),2024-12-31
축구장,삼다체육공원 축구장,30320,,7004,천연잔디103m * 68m,,,2015,서귀포시 체육진흥과(서귀포시체육회),2024-12-31
축구장,제주유나이티드 전용구장,36305,,8400·8836,천연잔디 (2면)112m * 75m·94m * 94m,,,2009,서귀포시 체육진흥과(제주유나이티드FC),2024-12-31
축구장,일출고성운동장,19172,,8366,인조잔디100m * 68m,,600,2008,서귀포시 성산읍,2024-12-31
축구장,표선생활체육관 인조잔디구장,72166,,7140,인조잔디105m * 68m,,,2007,서귀포시 표선면,2024-12-31
야구장,제주주경기장 야구장,27058,,11484,인조잔디,8547,12000,1984,제주시 체육진흥과,2024-12-31
야구장,동복리체육센터 야구장,52938,,,인조잔디,,　,2019,제주시 체육진흥과,2024-12-31
야구장,금악리생활체육 야구장,8540,,,인조잔디,,,2020,제주시 체육진흥과,2024-12-31
야구장,명도암생활체육 야구장,118828,,,인조잔디,,,2020,제주시 여성가족과,2024-12-31
야구장,공천포전지훈련센터 야구장,148462,,11020,인조잔디,　,200,2010,서귀포시 체육진흥과,2024-12-31
야구장,강창학체육공원 서귀포야구장,42000,,21243,인조잔디,720,1000,2005,서귀포시 체육진흥과,2024-12-31
야구장,강창학체육공원 서귀포실내야구연습장,42000,,1944,,,,,서귀포시 체육진흥과,2024-12-31
야구장,강창학체육공원 내야연습장,42000,,3469,,,,,서귀포시 체육진흥과,2024-12-31
야구장,서귀포생활야구장,15769,,15769,인조잔디,　,,2015,서귀포시 체육진흥과(서귀포시야구소프트볼협회),2024-12-31
야구장,대정생활야구장,22464,,12820,인조잔디,,　,2021,서귀포시 대정읍,2024-12-31
테니스장,제주종합경기장 연정정구장,9235,,6600,데코탑 10면,,3300,1984,제주시 체육진흥과,2024-12-31
테니스장,한림체육관 테니스장,3000,,1265,데코탑 2면,10,50,2005,제주시 한림읍,2024-12-31
테니스장,한림 옹포천 테니스장,1765,,1203,하드 2면,,50,2015,제주시 한림읍,2024-12-31
테니스장,애월근린공원 테니스장,1204,,522,하드 2면,,10,2010,제주시 애월읍,2024-12-31
테니스장,제주시생활체육공원 테니스장,6000,,5710,리바운드/에이스/테코터프 8면,,200,2004,제주시체육진흥과(제주시 체육회),2024-12-31
테니스장,제주경찰청 어울림테니스장,,,,아크릴계 하드코트,,,2024,제주도 체육진흥과(제주경찰청),2024-12-31
테니스장,서귀포테니스장,26829,,15437,하드15/인조잔디2 17면,1000,1000,2007,서귀포시체육진흥과(서귀포시 테니스협회),2024-12-31
테니스장,공전포전지훈련센터 테니스장,148462,,4838,하드 8면,,100,2010,서귀포시체육진흥과,2024-12-31
테니스장,표선생활체육공원 테니스장,5243,,1503,하드 3면,,30,2009,서귀포시 표선면,2024-12-31
테니스장,성산국민체육센터 테니스장,3723,,1849,하드 3면,,30,2023,서귀포시 성산읍,2024-12-31
풋살장,금악리 풋살장,2765,,800,40m*20m,,,2021,제주시 체육진흥과,2024-12-31
풋살장,첨단산업단지 공원풋살장,773,,773,인조잔디,,,2019,제주시 아라동,2024-12-31
풋살장,구좌평대풋살장,631.8,,420,26*16,,,2008,제주시 구좌읍,2024-12-31
풋살장,판포풋살장,7954,,540,18m*30m,,,2019,제주시 한경면,2024-12-31
풋살장,강창학경기장 풋살장,3076,,3076,28*58m/33*44m,,,,서귀포시 체육진흥과,2024-12-31
풋살장,효돈축구공원 풋살장,817,,817,43m*19m,,,,서귀포시 체육회,2024-12-31
씨름장,제주종합경기장 한라씨름장,1950,1950,1850,원형 326(지름18m),,700,2008,제주시 체육진흥과,2024-12-31
수영장,제주종합경기장 실내수영장,13000,5513,8952,다이빙장 25m * 21m (깊이5m)/경영장(정규)50m * 21m(8레인),1836,2000,1984,제주시 체육진흥과,2024-12-31
수영장,외도수영장,3982,557,2182,경영장(비정규)51m * 11m(5레인),,,1997,제주시 체육진흥과(제주시 체육회),2024-12-31
롤러스케이트장,제주종합경기장 인라인스케이트장,1000,,,트랙 콘크리트(150m * 5m)1주로/필드 콘크리트(20m * 50m)면적 1000㎡,,50,1984,제주시 체육진흥과,2024-12-31
롤러스케이트장,서귀포인라인 롤러장,18000,,6186,트랙 콘크리트(200m * 8m)1주로/필드 콘크리트(25m * 50m)면적 6054㎡,500,500,1997,서귀포시 체육진흥과,2024-12-31
국궁장,한라정(궁도장) ,5940,151,4350,거리145/사대폭25/사대수3,,100,1985,제주시 체육진흥과,2024-12-31
국궁장,서귀포 궁도장(천지정),10440,336,6716,거리145/사대폭44/사대수30,254,254,1998,서귀포시 체육진흥과,2024-12-31
국궁장,삼다정,5344,202,3190,거리145/사대폭22/사대수21,100,100,2010,서귀포시 체육진흥과,2024-12-31
국궁장,산방정,,202,3190,거리145/사대폭22/사대수21,100,100,2010,덕수리마을회(산방정궁도회),2024-12-31
국궁장,백록정,245,126,3132,거리145/사대폭16/사대수15,100,100,2002,서귀포시 체육진흥과,2024-12-31
골프연습장,청소년수련원 골프연습장,23140,270,1440,타석수9/폭24m/길이60m,,,1996,제주시여성가족과(사단법인 볼리션청소년진흥회),2024-12-31
파크골프장,회천파크골프장(제주생활체육공원),38777,,38777,18홀,,,2004,제주시 체육진흥과(제주시체육회),2024-12-31
파크골프장,제주종합경기장 간이파크골프장,,,,9홀,,,2009,제주시 체육진흥과,2024-12-31
파크골프장,구좌종합운동장 간이파크골프장,72000,,72000,9홀,,,2018,제주시 구좌읍,2024-12-31
파크골프장,아라동파크골프장,,,13175,18홀,,,2024,제주시 체육진흥과,2024-12-31
파크골프장,상도리파크골프장,,,21556,18홀,,,2024,제주시 체육진흥과,2024-12-31
파크골프장,노형미리내파크골프장,,,4380,18홀,,,2024,제주시 체육진흥과,2024-12-31
파크골프장,강창학파크골프장,30240,,30240,18홀,,,2017,서귀포시 체육회,2024-12-31
파크골프장,칠십리파크골프장,7500,,7500,18홀,,,2011,서귀포시 체육진흥과,2024-12-31
파크골프장,월라봉파크골프장,6233,,6233,9홀,,,2018,서귀포시 체육진흥과,2024-12-31
파크골프장,남원파크골프장,26052,,26052,18홀,,,2020,서귀포시 체육회,2024-12-31
구기체육관,제주종합경기장 한라체육관,5858,8005,1801,34m*50m*13m(H),3718,6000,1983,제주시 체육진흥과,2024-12-31
구기체육관,사라봉다목적 체육관,22686,2791,658,28m*34m*18m(H),500,1000,2015,제주시 체육진흥과(제주시체육회),2024-12-31
구기체육관,삼양다목적 체육관,19559,999,792,36m*22m*11m(H),,100,2020,제주시 체육진흥과(제주시체육회),2024-12-31
구기체육관,한림체육관,17428,3820,1344,28m*48m*15m(H),760,1000,1997,제주시 한림읍,2024-12-31
구기체육관,애월체육공원 체육관,10800,2279,770,22m*35m*12m(H),460,800,1994,제주시 애월읍,2024-12-31
구기체육관,구좌체육관,10500,2763,1104,23m*48m*12m(H),552,900,1994,제주시 구좌읍,2024-12-31
구기체육관,조천체육관,21370,3182,749,21m*35m*15m(H),378,700,1998,제주시 조천읍,2024-12-31
