관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50130-00001,월라봉공원,근린공원,제주특별자치도 서귀포시 월라봉로 76-40,제주특별자치도 서귀포시 신효동 1192-5,33.270519,126.604565,285946,운동기구 6종,조합놀이대 외 7종,파고라 1식,감귤박물관,,1965-03-04,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00002,제석공원,어린이공원,,제주특별자치도 서귀포시 서귀동 165-1,33.246128,126.566356,3450,운동기구 3종,조합놀이대,파고라 1식,,,1974-05-10,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00003,삼매봉공원,근린공원,,제주특별자치도 서귀포시 서홍동 820-1,33.243883,126.547508,626362,운동기구 5종,,파고라 1식,예술의전당+삼매봉도서관+기당미술관,,1974-05-10,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00004,새섬공원,수변공원,,제주특별자치도 서귀포시 서귀동 산 1,33.2368203,126.5628406,104137,,,,,,1974-05-10,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00005,식산공원,근린공원,,제주특별자치도 서귀포시 성산읍 오조리 314,33.465822,126.919471,54462,,,전망데크 2개소,,,1977-02-08,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00006,중문공원,근린공원,,제주특별자치도 서귀포시 중문동 2200-2,33.249929,126.419358,67990,,,,,,1986-05-15,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00007,문부공원,근린공원,제주특별자치도 서귀포시 일주동로 8593,제주특별자치도 서귀포시 동홍동 646-1,33.25431516,126.5699892,16190,운동기구 10종,조합놀이대,파고라 2식,기적의도서관,노인복지관,1986-05-15,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00008,장수공원,체육공원,제주특별자치도 서귀포시 동홍로99번길 24,제주특별자치도 서귀포시 동홍동 1437,33.25765258,126.5654618,39429,,,파고라 1식,,,1986-05-15,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00009,강창학공원,체육공원,제주특별자치도 서귀포시 중산간서로 97,제주특별자치도 서귀포시 강정동 1480,33.261172,126.4995073,493215,,,파고라 1식,,,1986-05-15,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00010,인성공원,소공원,,제주특별자치도 서귀포시 대정읍 인성리 393-1,33.246941,126.276308,3759,,,파고라 1식,,,1986-06-27,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00011,시흥공원,체육공원,제주특별자치도 서귀포시 성산읍 시흥하동로 89,제주특별자치도 서귀포시 성산읍 시흥리 12,33.477752,126.906884,48150,,,,,,1986-06-27,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00012,천지공원,어린이공원,제주특별자치도 서귀포시 서문서로 43,제주특별자치도 서귀포시 서귀동 304-4,33.251183,126.558513,2425,운동기구 4종,조합놀이대 외 6종,파고라 1식,,,1987-04-09,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00013,중앙공원,어린이공원,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,33.25014898,126.5632305,1515,운동기구 4종,조합놀이대,,,,1987-04-09,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00014,동홍공원,어린이공원,제주특별자치도 서귀포시 동홍동 태평로536번길 6,제주특별자치도 서귀포시 동홍동 199-3,33.250911,126.575266,1520,운동기구 4종,조합놀이대 외 3종,파고라 1식,,,1987-04-09,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
50130-00015,태양공원,어린이공원,,제주특별자치도 서귀포시 동홍동 82-2,33.257854,126.573162,1510,운동기구 4종,조합놀이대,,,,1991-08-19,제주특별자치도 서귀포시청,064-760-3192,2024-11-18
