관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00040,대림공원,근린공원,,제주특별자치도 제주시 한림읍 대림리 977,33.4295246669,126.2810534077,190240,,,,,,1965-06-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00041,한림공원,근린공원,,제주특별자치도 제주시 한림읍 협재리 2610,33.3902248600,126.2396912000,329290,,,,,,1965-06-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00042,망오름공원,근린공원,제주특별자치도 제주시 한림읍 봉수대길 5,제주특별자치도 제주시 한림읍 상명리 산5,33.3653530128,126.2616340183,163470,,,,,,2017-04-10,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00043,신엄공원,근린공원,,제주특별자치도 제주시 애월읍 신엄리 2386,33.4700122576,126.3620967443,54340,,,,,,1981-04-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00044,수산공원,근린공원,,제주특별자치도 제주시 애월읍 수산리 산1-1,33.4738201227,126.3828400594,46118,,,,,,1981-04-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00045,하귀1근린공원,근린공원,제주특별자치도 제주시 애월읍 하귀동남1길 22,제주특별자치도 제주시 애월읍 하귀1리 199,33.4847847649,126.4137775960,29640,,,평의자13,,,2004-08-04,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00046,김녕공원,근린공원,,제주특별자치도 제주시 구좌읍 김녕리 4302,33.5565332343,126.7353234414,58990,,,,,,1986-02-24,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00047,동복공원,근린공원,,제주특별자치도 제주시 구좌읍 동복리 1679,33.5528234521,126.7080347949,12900,,,,,,1986-02-24,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00048,상도공원,근린공원,,제주특별자치도 제주시 구좌읍 상도리 392-1,33.5142653061,126.8704396820,85330,,,,,,1981-04-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00049,평대공원,근린공원,,제주특별자치도 제주시 구좌읍 평대리 468-36,33.5267597755,126.8471296901,47180,,,,,,1981-04-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00050,세화공원,근린공원,,제주특별자치도 제주시 구좌읍 상도리 471-32,33.5236098769,126.8634255904,82831,,,,박물관1,,1981-04-22,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
